row_id,PCGDP,PCRS,FSR,TIG,RUUR,HBTP,IPR,URIR,GCR,WEI,SDEI,EPES,UGPR,UWPR,PCURA,REPC
97,0.113309,0.168573,0.432464,0.199954,0.147059,0.466579,0.258621,0.637055,0.640379,0.880316,0.936274,0.289139,0.853012,0.745914,0.383973,0.008233
98,0.126073,0.193555,0.43567,0.229397,0.117647,0.522353,0.293103,0.661473,0.611987,0.882858,0.942968,0.274196,0.870246,0.726179,0.387312,0.008793
99,0.133273,0.218423,0.432466,0.264323,0.147059,0.567788,0.344828,0.67581,0.649842,0.886765,0.951075,0.236708,0.892608,0.785692,0.40025,0.009347
100,0.147553,0.247463,0.404948,0.321766,0.117647,0.615261,0.413793,0.687292,0.687697,0.898265,0.980811,0.206358,0.882923,0.786309,0.404424,0.010109
101,0.172681,0.280377,0.39184,0.370025,0.176471,0.68851,0.413793,0.693906,0.690852,0.898265,0.987858,0.239412,0.874947,0.843047,0.404007,0.010781
102,0.199102,0.314175,0.382114,0.404888,0.323529,0.74574,0.413793,0.702653,0.706625,0.898265,0.990799,0.249969,0.910269,0.867407,0.441987,0.011797
103,0.217075,0.34994,0.371403,0.4104,0.382353,0.798602,0.413793,0.713746,0.747634,0.898265,0.991646,0.290663,0.928073,0.873265,0.515025,0.012735
104,0.22792,0.340822,0.356857,0.408441,0.294118,0.831659,0.413793,0.739493,0.769716,0.898265,0.993088,0.253363,0.963111,0.946963,0.588063,0.016524
105,0.257871,0.401488,0.407702,0.412004,0.294118,0.851755,0.413793,0.757203,0.788644,0.898265,0.994853,0.184836,0.973223,0.95868,0.578047,0.018106
106,0.271484,0.40159,0.389714,0.41994,0.294118,0.889471,0.413793,0.774662,0.801262,0.898265,0.995582,0.192444,0.950862,0.913043,0.594324,0.019762
107,0.290654,0.442805,0.417469,0.445302,0.294118,0.933304,0.413793,0.795725,0.823344,0.898265,0.996298,0.192452,0.970944,0.969473,0.661102,0.022826
108,0.315601,0.462933,0.400409,0.473261,0.294118,0.933304,0.413793,0.812806,0.823344,0.898265,0.996298,0.192452,0.970944,0.969473,0.661102,0.022826
109,0.137021,0.187188,0.831522,0.298427,0.294118,0.388525,0.568966,0.821629,0.526814,0.841044,0.878192,0.005203,1.0,1.0,0.329716,0.047581
110,0.16999,0.230408,0.805777,0.29989,0.294118,0.388525,0.568966,0.780712,0.454259,0.876305,0.904149,0.070369,1.0,1.0,0.43197,0.040773
111,0.180222,0.262288,0.752229,0.341068,0.294118,0.403233,0.568966,0.783047,0.384858,0.90203,0.914201,0.057457,1.0,1.0,0.405676,0.045495
112,0.20997,0.295747,0.803141,0.37058,0.294118,0.418087,0.568966,0.808451,0.44164,0.91074,0.928747,0.188131,1.0,1.0,0.452838,0.045824
113,0.243569,0.345388,0.84123,0.399592,0.294118,0.419543,0.62069,0.894079,0.51735,0.942833,0.941111,0.159062,1.0,1.0,0.542988,0.046821
114,0.266524,0.392627,0.853803,0.412034,0.294118,0.251638,0.655172,0.921558,0.529968,0.926272,0.948641,0.159252,1.0,1.0,0.577629,0.048621
115,0.288431,0.441494,0.847451,0.438748,0.294118,0.271298,0.706897,0.949456,0.529968,0.939256,0.954909,0.176725,1.0,1.0,0.613523,0.066477
116,0.304834,0.463402,0.862173,0.456769,0.323529,0.284404,0.706897,0.964087,0.529968,0.940555,0.959338,0.194817,1.0,1.0,0.528798,0.105517
117,0.308954,0.378846,0.858227,0.49481,0.323529,0.299694,0.741379,0.966814,0.577287,0.93772,0.964667,0.23726,1.0,1.0,0.5,0.100307
118,0.326101,0.401149,0.757945,0.553089,0.323529,0.313965,0.775862,0.965432,0.602524,0.948507,0.995234,0.155592,1.0,1.0,0.473706,0.09209
119,0.360735,0.413749,0.721455,0.580313,0.323529,0.340032,0.775862,0.964188,0.589905,0.948507,0.995877,0.420926,1.0,1.0,0.558013,0.041485
120,0.39889,0.424783,0.693161,0.589663,0.323529,0.337265,0.775862,0.959393,0.62776,0.948507,0.997108,0.217185,1.0,1.0,0.318447,0.039659
121,0.425516,0.432951,0.692212,0.607323,0.323529,0.336683,0.775862,0.960995,0.611987,0.948507,0.997429,1.0,1.0,1.0,0.373122,0.043191
122,0.423297,0.37094,0.615933,0.606442,0.294118,0.41663,0.775862,0.962732,0.615142,0.948507,0.998544,0.181181,1.0,1.0,0.453673,0.065221
123,0.480432,0.40601,0.693625,0.583082,0.264706,0.428571,0.775862,0.968182,0.637224,0.948507,0.99893,0.108889,1.0,1.0,0.475793,0.071662
124,0.499784,0.394987,0.690618,0.566587,0.264706,0.432503,0.775862,0.974388,0.640379,0.948507,0.999218,0.036719,1.0,1.0,0.503756,0.062014
125,0.521687,0.43456,0.624744,0.592331,0.264706,0.474297,0.775862,0.98758,0.634069,0.948507,0.999273,0.030942,0.992594,1.0,0.516277,0.086163
126,0.564298,0.419845,0.592315,0.615661,0.264706,0.474297,0.775862,1.0,0.634069,0.948507,0.999273,0.030942,0.992594,1.0,0.516277,0.086163
127,0.03031,0.023523,0.300954,0.207964,0.088235,0.187272,0.137931,0.436255,0.485804,0.301093,0.127438,0.742305,0.637943,0.693802,0.547579,0.006887
128,0.048895,0.036368,0.25786,0.203825,0.058824,0.187272,0.137931,0.411035,0.621451,0.472069,0.367449,0.762103,0.653611,0.606846,0.449917,0.007159
129,0.05719,0.046131,0.218826,0.250215,0.058824,0.211592,0.137931,0.439482,0.652997,0.484824,0.486382,0.73373,0.816693,0.91366,0.522955,0.006624
130,0.078071,0.063925,0.238378,0.250787,0.058824,0.236057,0.137931,0.51743,0.652997,0.61208,0.590543,0.783616,0.829227,0.945421,0.555509,0.007403
131,0.101561,0.084145,0.279213,0.243995,0.058824,0.276831,0.224138,0.52953,0.611987,0.714634,0.560108,0.69451,0.834497,0.859698,0.578464,0.008366
132,0.112669,0.099271,0.272172,0.26615,0.117647,0.324887,0.344828,0.544452,0.640379,0.754786,0.604926,0.543947,0.71044,0.762566,0.564274,0.008951
133,0.124131,0.115476,0.304724,0.281915,0.147059,0.393185,0.413793,0.565974,0.643533,0.787223,0.653351,0.456437,0.844467,0.892384,0.616444,0.010037
134,0.131753,0.128049,0.310876,0.296108,0.176471,0.415174,0.431034,0.58944,0.62776,0.815127,0.684387,0.437793,0.846603,0.91551,0.797997,0.010095
135,0.136568,0.193179,0.297651,0.319617,0.176471,0.437163,0.5,0.592219,0.624606,0.865005,0.712954,0.527795,0.818544,0.888992,0.771285,0.010723
136,0.147743,0.209217,0.276258,0.34483,0.205882,0.483617,0.534483,0.594604,0.70347,0.868954,0.85375,0.34835,0.867398,0.838113,0.79591,0.011313
137,0.17215,0.232018,0.270831,0.332477,0.205882,0.550459,0.534483,0.59928,0.70347,0.868954,0.904219,0.561463,0.881926,0.866173,0.742487,0.012249
138,0.189828,0.246324,0.274687,0.357905,0.205882,0.568079,0.534483,0.607631,0.706625,0.868954,0.923004,0.712913,0.912406,0.950663,0.788815,0.012915
