row_id,year,id,年末城镇人口比重,年末人口数,年末城镇人口数,年末农村人口数,城镇居民人均可支配收入（元）,农村居民人均可支配收入（元）,城-总收入,农-总收入,总收入,城总收/总,农总收/总,城总人/总,农总人/总,x1,x2,泰尔指数
107,2003,江西,0.3402,4254.0,1447.2108,2806.7892,6901.42,2457.53,9987809.559336,6897768.662676,16885578.222012,0.591499410207695,0.408500589792305,0.3402,0.6598,1.73868139390857,0.61912790207988,0.131321386065854
108,2003,山东,0.4301,9125.0,3924.6625,5200.3375,8399.91,3150.49,32966811.780375,16383611.290375,49350423.07075,0.668014775336636,0.331985224663364,0.4301,0.5699,1.55316153298451,0.582532417377371,0.11472692748573
109,2003,河南,0.2721,9667.0,2630.3907,7036.6093,6926.12,2235.68,18218401.635084,15731606.679824,33950008.314908,0.536624364450715,0.463375635549285,0.2721,0.7279,1.972158634512,0.636592437902576,0.155164685694529
110,2003,湖北,0.429,5685.0,2438.865,3246.135,7321.98,2566.76,17857320.7527,8332049.4726,26189370.2253,0.681853767352111,0.318146232647889,0.429,0.571,1.58940272110049,0.557173787474412,0.129865843320383
111,2003,湖南,0.335,6663.0,2232.105,4430.895,7674.2,2532.87,17129620.191,11222881.01865,28352501.20965,0.604166103876923,0.395833896123077,0.335,0.665,1.80348090709529,0.595238941538461,0.15093240418125
112,2003,广东,0.5845,8963.0,5238.8735,3724.1265,12380.43,4054.58,64859506.645605,15099768.82437,79959275.469975,0.811156757791783,0.188843242208217,0.5845,0.4155,1.38777888416045,0.454496371138909,0.11690451812408
113,2003,广西,0.3085,4857.0,1498.3845,3358.6155,7785.04,2094.51,11664983.26788,7034653.750905,18699637.018785,0.623808005265651,0.376191994734349,0.3085,0.6915,2.02206808838137,0.544023130490743,0.210224227295489
114,2003,海南,0.4357,811.0,353.3527,457.6473,7259.25,2588.06,2565075.587475,1184418.671238,3749494.258713,0.684112419032068,0.315887580967932,0.4357,0.5643,1.57014555664923,0.559786604586093,0.125371997147274
115,2003,重庆,0.419,2803.0,1174.457,1628.543,8093.67,2214.55,9505667.38719,3606489.90065,13112157.28784,0.724950683439818,0.275049316560182,0.419,0.581,1.73019256190887,0.473406741067439,0.191759704559194
116,2003,四川,0.3386,8176.0,2768.3936,5407.6064,7041.87,2229.86,19494667.840032,12058205.207104,31552873.047136,0.617841291691867,0.382158708308133,0.3386,0.6614,1.82469371438827,0.577802703822397,0.161954487539626
117,2003,贵州,0.2477,3870.0,958.599,2911.401,6569.23,1564.66,6297257.30877,4555352.68866,10852609.99743,0.580252797277452,0.419747202722548,0.2477,0.7523,2.34256276656218,0.557951884517543,0.249022431951531
118,2003,云南,0.266,4376.0,1164.016,3211.984,7643.57,1697.12,8897237.77712,5451122.28608,14348360.0632,0.620087434238511,0.37991256576149,0.266,0.734,2.33115576781395,0.517592051446171,0.274621576464868
