row_id,ADMINCODE,REGION,ZONE,YEAR,FULL_INDEX,INDEX_WITHOUT_URIR,INDEX_WITHOUT_REPC,INDEX_WITHOUT_BOTH,FULL_RANK,RANK_WITHOUT_URIR,RANK_WITHOUT_REPC,RANK_WITHOUT_BOTH,RANK_CHANGE_WITHOUT_URIR,RANK_CHANGE_WITHOUT_REPC,RANK_CHANGE_WITHOUT_BOTH
177,430000,湖南,中部,2012,0.391855562729003,0.379004787378299,0.4052276782589732,0.3929929040659436,24,23,24,23,1,0,1
178,620000,甘肃,西部,2012,0.3684152832946946,0.3771213093207081,0.3789304496745827,0.3888492050691116,28,25,28,25,3,0,3
179,350000,福建,东部,2012,0.4760740000168296,0.4626959868504661,0.492805885306203,0.4804477333979186,10,10,10,10,0,0,0
180,540000,西藏,西部,2012,0.3184947692387033,0.3115504981920278,0.3260533130750072,0.3191899632562465,30,31,30,31,1,0,1
181,520000,贵州,西部,2012,0.3117456265679524,0.3158424739725114,0.3214983061093882,0.3266000101796766,31,30,31,30,1,0,1
182,210000,辽宁,东部,2012,0.4637353454594084,0.4535404201393393,0.4791016036415228,0.4699180426953554,13,11,13,11,2,0,2
183,500000,重庆,西部,2012,0.4776618169959643,0.4706851620357257,0.4932559956678805,0.4873094391992247,9,9,9,9,0,0,0
184,610000,陕西,西部,2012,0.435487093607189,0.4379592012651435,0.4497834306839034,0.4536583923852312,17,15,17,15,2,0,2
185,630000,青海,西部,2012,0.3911519596014554,0.3915094545381573,0.4032358889471876,0.4045976902599379,25,22,25,22,3,0,3
186,230000,黑龙江,中部,2012,0.3946568493061316,0.3678863784291626,0.4078640742374238,0.381006079955064,22,27,22,27,5,0,5
187,310000,上海,东部,2013,0.5357195810807263,0.5217332120990695,0.5301368919165528,0.5153296827136105,7,7,7,7,0,0,0
188,530000,云南,西部,2013,0.3669419658821247,0.3678665768926128,0.3787559704035067,0.3807535147938882,29,29,29,29,0,0,0
189,150000,内蒙古,西部,2013,0.4734225529599954,0.4693340471670339,0.4888079858735045,0.4858849797710914,14,13,14,13,1,0,1
190,110000,北京,东部,2013,0.6743605972953741,0.6752721258022275,0.6964951242041502,0.6994227945361673,1,1,1,1,0,0,0
191,220000,吉林,中部,2013,0.481170548423075,0.457680733279009,0.4965790564107558,0.4732878814375487,13,15,13,15,2,0,2
192,510000,四川,西部,2013,0.4080489224617674,0.3931544646228641,0.4217410138361137,0.4073780146757034,25,26,25,26,1,0,1
193,120000,天津,东部,2013,0.5526308546703168,0.5270455148748743,0.5713432144276821,0.5463761326184291,6,6,6,6,0,0,0
194,640000,宁夏,西部,2013,0.4340263632624692,0.4253590442088475,0.4481557379466456,0.4403175756797154,21,21,21,21,0,0,0
195,340000,安徽,中部,2013,0.4505518706434391,0.4364460547638541,0.465700515869112,0.4522997693901366,18,19,17,19,1,1,1
196,370000,山东,东部,2013,0.5661149235106888,0.55826980764576,0.584853502186294,0.5783460877416521,4,4,4,4,0,0,0
197,140000,山西,中部,2013,0.4711397504520444,0.4642755303521517,0.4872429645902023,0.4815191864868934,15,14,15,14,1,0,1
198,440000,广东,东部,2013,0.5687321811177942,0.564860299621457,0.5866145667507408,0.5842323899872728,3,3,3,3,0,0,0
199,450000,广西,西部,2013,0.4025996025323488,0.3944017918465287,0.4161967065011581,0.4088392376457741,26,25,26,25,1,0,1
200,650000,新疆,西部,2013,0.4466910899401262,0.4352223721358991,0.4614401614331327,0.4507514812732769,19,20,19,20,1,0,1
201,320000,江苏,东部,2013,0.5968778204651849,0.5863557916964495,0.6134030910793979,0.6039620934454545,2,2,2,2,0,0,0
