row_id,ADMINCODE,REGION,ZONE,YEAR,FULL_INDEX,INDEX_WITHOUT_URIR,INDEX_WITHOUT_REPC,INDEX_WITHOUT_BOTH,FULL_RANK,RANK_WITHOUT_URIR,RANK_WITHOUT_REPC,RANK_WITHOUT_BOTH,RANK_CHANGE_WITHOUT_URIR,RANK_CHANGE_WITHOUT_REPC,RANK_CHANGE_WITHOUT_BOTH
84,430000,湖南,中部,2009,0.3554249433081078,0.3455381046727433,0.3671399116909502,0.357818324250329,23,20,23,20,3,0,3
85,620000,甘肃,西部,2009,0.314070566744541,0.3245818542767909,0.3227322762079845,0.3343701993011691,29,25,29,25,4,0,4
86,350000,福建,东部,2009,0.4306980286416203,0.4176455101434329,0.4461440263281222,0.4339938970949583,9,9,8,9,0,1,0
87,540000,西藏,西部,2009,0.2892726133482261,0.3004232706823122,0.2973186564638929,0.3096017703254577,30,30,30,30,0,0,0
88,520000,贵州,西部,2009,0.2582663970704775,0.2678700741390139,0.2659149174949207,0.2765586490150518,31,31,31,31,0,0,0
89,210000,辽宁,东部,2009,0.4034425203346274,0.393693248248325,0.4172444269266593,0.4083734440985718,11,13,11,13,2,0,2
90,500000,重庆,西部,2009,0.380043225379631,0.3775113303369803,0.3929531000354871,0.3914710087662848,16,16,16,16,0,0,0
91,610000,陕西,西部,2009,0.3873588623365642,0.3998345029104786,0.3996151634226773,0.4137415387097785,15,10,15,10,5,0,5
92,630000,青海,西部,2009,0.3783456250230515,0.391822828051693,0.389365788483101,0.4043256702695198,18,14,18,14,4,0,4
93,230000,黑龙江,中部,2009,0.3293427267472671,0.3080719857019729,0.3403205807484737,0.3190169085684428,26,28,25,28,2,1,2
94,310000,上海,东部,2010,0.5101628118150109,0.4953929685934699,0.5239827565529224,0.5099743680510348,5,5,6,5,0,1,0
95,530000,云南,西部,2010,0.3418533621929937,0.3477006048396,0.3524632051640368,0.3594758157805505,26,25,27,24,1,1,2
96,150000,内蒙古,西部,2010,0.4120292721752649,0.4095911455252422,0.4247702782596866,0.4232749275716327,12,12,13,12,0,1,0
97,110000,北京,东部,2010,0.6444806655145054,0.6433458801838491,0.665606915271582,0.6663083790898923,1,1,1,1,0,0,0
98,220000,吉林,中部,2010,0.4093436021660274,0.3850246523734265,0.4221911222054516,0.3977913651771046,14,19,15,19,5,1,5
99,510000,四川,西部,2010,0.3356605639382008,0.3210212122367915,0.3467441438092548,0.332395988889952,29,29,29,29,0,0,0
100,120000,天津,东部,2010,0.5069115372581833,0.4875700947535122,0.5243386956240829,0.5057662701514429,6,6,5,6,0,1,0
101,640000,宁夏,西部,2010,0.408938801612774,0.4015038718480036,0.4215454949919724,0.4148008982506494,15,14,16,14,1,1,1
102,340000,安徽,中部,2010,0.375760791361425,0.3598063548374841,0.3883191090774598,0.3727372428818138,21,21,21,21,0,0,0
103,370000,山东,东部,2010,0.4896577499220125,0.4817533893265322,0.5061928825828196,0.499450486516384,7,7,7,7,0,0,0
104,140000,山西,中部,2010,0.4218480644469545,0.4154857539653333,0.4358757376498031,0.4304512988949781,11,11,11,11,0,0,0
105,440000,广东,东部,2010,0.5501287850319702,0.5498302565547681,0.56725635397881,0.5685124943357842,2,2,2,2,0,0,0
106,450000,广西,西部,2010,0.3416828424252773,0.3368887531646426,0.3531500570739148,0.3491607245847734,27,27,26,27,0,1,0
107,650000,新疆,西部,2010,0.4075482321448273,0.3990224349078928,0.4206204765920472,0.4128257329873642,17,16,17,16,1,0,1
108,320000,江苏,东部,2010,0.5361237565376693,0.5248322058875297,0.5518435558615873,0.5415301291085306,3,3,3,3,0,0,0
109,360000,江西,中部,2010,0.3766506402743729,0.3583827225607842,0.3892908193985437,0.3712866762644396,20,22,20,22,2,0,2
110,130000,河北,东部,2010,0.4490935168253469,0.4370653384252718,0.4633457860055941,0.4520221417852221,8,8,8,8,0,0,0
111,410000,河南,中部,2010,0.3443716298514011,0.3245522804144089,0.3555410146848353,0.3357541938782099,25,28,25,28,3,0,3
112,330000,浙江,东部,2010,0.5284560952391307,0.5091136607253054,0.545284876552204,0.5266600070873914,4,4,4,4,0,0,0
113,460000,海南,东部,2010,0.4067590199229413,0.3936088954702334,0.4201533442399851,0.407540129872993,18,17,18,17,1,0,1
114,420000,湖北,中部,2010,0.4087569754033581,0.3893837312148964,0.4224631843083195,0.4034007455748427,16,18,14,18,2,2,2
115,430000,湖南,中部,2010,0.3680463203475268,0.3554797296359683,0.3802339487297411,0.3681535846574922,22,23,22,23,1,0,1
116,620000,甘肃,西部,2010,0.3401320365281598,0.3479628352142669,0.3495612358681176,0.3584503244457358,28,24,28,25,4,0,3
117,350000,福建,东部,2010,0.4456208613799862,0.4330133323115849,0.4613855532763692,0.4497299880099877,9,9,9,9,0,0,0
118,540000,西藏,西部,2010,0.2899912408358472,0.2954066734264073,0.2982854541234726,0.3045989709070004,30,30,30,30,0,0,0
119,520000,贵州,西部,2010,0.2740455224458688,0.2788943006577874,0.2823692260423813,0.2881086947334667,31,31,31,31,0,0,0
120,210000,辽宁,东部,2010,0.4350661076817675,0.4254141645101011,0.449335251003211,0.4405917816302884,10,10,10,10,0,0,0
121,500000,重庆,西部,2010,0.4110602807348663,0.4050045194202899,0.424911482962048,0.4198109923146609,13,13,12,13,0,1,0
122,610000,陕西,西部,2010,0.3950288588973936,0.4002482324516221,0.407840284043065,0.4144443420471335,19,15,19,15,4,0,4
123,630000,青海,西部,2010,0.3645905678387125,0.3716282480013519,0.3753996830353817,0.3836187992057903,24,20,24,20,4,0,4
124,230000,黑龙江,中部,2010,0.3659528737229386,0.3420197456470627,0.3778130839500327,0.3537705698352672,23,26,23,26,3,0,3
125,310000,上海,东部,2011,0.542074367226433,0.5285845181100061,0.5564839434514861,0.543833265143442,3,4,4,4,1,1,1
126,530000,云南,西部,2011,0.3477437203055639,0.3508949063867932,0.3586492638793551,0.3628741384307282,29,25,29,25,4,0,4
127,150000,内蒙古,西部,2011,0.4193232275499241,0.4141926333976506,0.4326743398316327,0.4284486438607216,16,16,16,16,0,0,0
128,110000,北京,东部,2011,0.6688537608875106,0.6706099722161302,0.6907343558739423,0.694524031765486,1,1,1,1,0,0,0
129,220000,吉林,中部,2011,0.4490721438909222,0.4247113328920909,0.4632461214611677,0.438914080746182,10,13,10,13,3,0,3
130,510000,四川,西部,2011,0.3591655043061924,0.3432422290940744,0.3714088755111351,0.3558499070172322,26,27,25,27,1,1,1
131,120000,天津,东部,2011,0.535634889170266,0.5125656893231088,0.5541700723096503,0.5318046212382842,6,6,5,6,0,1,0
132,640000,宁夏,西部,2011,0.4126969111475723,0.4047969239691718,0.4256852721448375,0.418509093676554,18,17,18,18,1,0,0
133,340000,安徽,中部,2011,0.3962730711787268,0.3817720796492066,0.4096138288847845,0.3956372289958051,20,20,20,20,0,0,0
134,370000,山东,东部,2011,0.5050923886690215,0.4952043564498908,0.5223143836175348,0.5135733019175529,7,7,7,7,0,0,0
135,140000,山西,中部,2011,0.4221361882102935,0.4143331180465077,0.436563793340408,0.4297019275839989,15,15,15,15,0,0,0
136,440000,广东,东部,2011,0.541858749184331,0.5370661284763479,0.5589156062400606,0.5554872139178268,4,3,3,3,1,1,1
137,450000,广西,西部,2011,0.3481858600191197,0.3403496910672685,0.3599626464417794,0.3528222266300673,28,28,28,28,0,0,0
138,650000,新疆,西部,2011,0.4118594714706617,0.4013594045353311,0.425280340727214,0.4154693106485342,19,19,19,19,0,0,0
139,320000,江苏,东部,2011,0.5526459506022166,0.5404084844558402,0.568576816176817,0.5572981515099218,2,2,2,2,0,0,0
140,360000,江西,中部,2011,0.3853270970493705,0.3641249881380479,0.3985416491607756,0.3775389786006692,21,23,21,23,2,0,2
141,130000,河北,东部,2011,0.4471498468104688,0.4309270611555041,0.4617504389419869,0.4461063001399725,11,12,11,12,1,0,1
142,410000,河南,中部,2011,0.3502527637286853,0.3277416909220386,0.3618566432311559,0.3393117079343407,27,29,27,29,2,0,2
143,330000,浙江,东部,2011,0.5356476634697284,0.5156446339208284,0.5525856507001932,0.5332950633450458,5,5,6,5,0,1,0
144,460000,海南,东部,2011,0.4912307290946368,0.4807853040530666,0.5068077339527782,0.4971642591287274,8,8,8,8,0,0,0
145,420000,湖北,中部,2011,0.4246303431808151,0.4043261225505642,0.4393617621229338,0.4194565590372872,14,18,14,17,4,0,3
146,430000,湖南,中部,2011,0.3687083142197509,0.3544246573323067,0.381379995611469,0.3675866640664668,24,24,24,24,0,0,0
147,620000,甘肃,西部,2011,0.359946911360196,0.3686248399725528,0.369979464242475,0.3798049278031719,25,22,26,22,3,1,3
148,350000,福建,东部,2011,0.4530489291137729,0.4387502723374371,0.4693332432193175,0.4559802441008314,9,9,9,9,0,0,0
149,540000,西藏,西部,2011,0.3179194829552429,0.3160629485678671,0.3268643576633886,0.3255856925085137,30,30,30,30,0,0,0
150,520000,贵州,西部,2011,0.2756022045386149,0.2784127813748473,0.2842938019146902,0.2879629258334803,31,31,31,31,0,0,0
151,210000,辽宁,东部,2011,0.4449070557373542,0.4332622715135507,0.4598790264142428,0.4491507625827251,12,11,12,11,1,0,1
152,500000,重庆,西部,2011,0.4426784186317905,0.4338232388857997,0.4574134089482111,0.4494465701082645,13,10,13,10,3,0,3
153,610000,陕西,西部,2011,0.4144028984722747,0.4162126693265102,0.4281482301874083,0.4312861880459455,17,14,17,14,3,0,3
154,630000,青海,西部,2011,0.3739038119588852,0.3761511912386481,0.3853033335948063,0.3885782589022674,23,21,23,21,2,0,2
155,230000,黑龙江,中部,2011,0.3771355401977539,0.3491912879322925,0.389633662463878,0.3614685034259856,22,26,22,26,4,0,4
156,310000,上海,东部,2012,0.5261762941199513,0.5115215715678151,0.5403790831529214,0.5265042141639616,7,6,7,7,1,0,0
157,530000,云南,西部,2012,0.3477479122702051,0.3498459927166561,0.3586074243690515,0.3617228567202559,29,29,29,29,0,0,0
158,150000,内蒙古,西部,2012,0.4487716244168711,0.4448785616721038,0.4631590127026707,0.4603309365459889,14,13,14,13,1,0,1
159,110000,北京,东部,2012,0.6587913990505749,0.6592123057028636,0.6805227682422106,0.6829115510863338,1,1,1,1,0,0,0
160,220000,吉林,中部,2012,0.4664485429551181,0.4428223648800197,0.4813437069177378,0.4578589589250277,12,14,12,14,2,0,2
161,510000,四川,西部,2012,0.3924599819394289,0.3782007902499464,0.4056121614423484,0.3918625348663556,23,24,23,24,1,0,1
162,120000,天津,东部,2012,0.5345619406305703,0.5096333190906748,0.553278621891762,0.5290004923020019,5,7,5,6,2,0,1
163,640000,宁夏,西部,2012,0.4075410841893273,0.3982965823653629,0.4204289836867823,0.4118409606462711,21,21,21,21,0,0,0
164,340000,安徽,中部,2012,0.4169803022392274,0.4027028451401936,0.4310496788546537,0.4173785699068749,20,19,20,19,1,0,1
165,370000,山东,东部,2012,0.5340392322503152,0.5258667874712177,0.5519246317168122,0.5450183904064927,6,5,6,4,1,0,2
166,140000,山西,中部,2012,0.4417587948599764,0.4347200194684435,0.4569399819479609,0.4509562357494866,16,16,16,16,0,0,0
167,440000,广东,东部,2012,0.5451924018004426,0.5406731566988693,0.5625552677667529,0.5594640646386303,4,3,4,3,1,0,1
168,450000,广西,西部,2012,0.3754722949730158,0.367917375297066,0.3882114934615478,0.3814564720239885,27,26,27,26,1,0,1
169,650000,新疆,西部,2012,0.4228625165824084,0.4119012839903576,0.4367887974590606,0.4265531745926516,18,18,18,18,0,0,0
170,320000,江苏,东部,2012,0.5706996134898457,0.5595149780104637,0.5869187961849787,0.5767674366151674,2,2,2,2,0,0,0
171,360000,江西,中部,2012,0.4191370528648458,0.4001014957595023,0.4333074408095497,0.4146466559889957,19,20,19,20,1,0,1
172,130000,河北,东部,2012,0.4671584109791884,0.4515253945309591,0.4824072910442236,0.4674404892879753,11,12,11,12,1,0,1
173,410000,河南,中部,2012,0.3775479824887859,0.3558323107859882,0.3897943728836694,0.3681199897547205,26,28,26,28,2,0,2
174,330000,浙江,东部,2012,0.5454338008490351,0.526217275594259,0.5627297794601116,0.5443012122430447,3,4,3,5,1,0,2
175,460000,海南,东部,2012,0.4850406069848051,0.4737784979590578,0.5008651839086908,0.4904302620550952,8,8,8,8,0,0,0
176,420000,湖北,中部,2012,0.4429624704402235,0.4237266357552116,0.4583300412558355,0.4396055686312657,15,17,15,17,2,0,2
