row_id,year,id,GDP（亿元）,地方一般公共预算支出（亿元）,环境保护支出（亿元）,占比
182,2012,陕西,14453.68,3323.802,94.1427,0.0283237990710638
183,2012,甘肃,5650.2,2059.5638,72.0006,0.0349591500879944
184,2012,青海,1893.54,1159.0499,43.9919,0.0379551389461317
185,2012,宁夏,2341.29,864.3616,35.3727,0.0409234977583456
186,2012,新疆,7505.31,2720.0673,64.1211,0.0235733505564366
187,2013,北京,19500.56,4173.6563,138.1672,0.0331045946452275
188,2013,天津,14370.16,2549.2061,48.437,0.0190008175486478
189,2013,河北,28301.41,4409.5849,171.8643,0.0389751652133968
190,2013,山西,12602.24,3030.1263,98.1575,0.0323938642425565
191,2013,内蒙古,16832.38,3686.516,132.1085,0.0358355965361333
192,2013,辽宁,27077.65,5197.4158,108.5925,0.0208935563708411
193,2013,吉林,12981.46,2744.8114,126.8326,0.0462081292725613
194,2013,黑龙江,14382.93,3369.1827,115.7524,0.0343562253243198
195,2013,上海,21602.12,4528.6079,56.4273,0.0124601867165404
196,2013,江苏,59161.75,7798.4737,229.1832,0.0293882122087557
197,2013,浙江,37568.49,4730.4659,98.1384,0.020746032647651
198,2013,安徽,19038.87,4349.6871,108.4246,0.0249269884263629
199,2013,福建,21759.64,3068.8006,58.6029,0.0190963531485232
200,2013,江西,14338.5,3470.3013,74.1652,0.0213714008060338
201,2013,山东,54684.33,6688.8,212.8095,0.031815796555436
202,2013,河南,32155.86,5582.3139,111.9228,0.0200495353727779
203,2013,湖北,24668.49,4371.6467,109.7196,0.0250980025444417
204,2013,湖南,24501.67,4690.8853,128.6696,0.0274297050068566
205,2013,广东,62163.97,8410.9995,307.7778,0.0365922979783794
206,2013,广西,14378.0,3208.6656,64.2258,0.020016358201989
207,2013,海南,3146.46,1011.1713,23.1774,0.0229213388473348
208,2013,重庆,12656.69,3062.2848,114.5459,0.0374053713096835
209,2013,四川,26260.77,6220.9097,159.9491,0.0257115289746128
210,2013,贵州,8006.79,3082.6578,66.4429,0.0215537709050936
211,2013,云南,11720.91,4096.513,105.2946,0.0257034702440832
212,2013,西藏,807.67,1014.3128,17.2143,0.0169713918625497
213,2013,陕西,16045.21,3665.0665,109.7656,0.029949142805458
214,2013,甘肃,6268.01,2309.623,69.8222,0.0302309944090442
215,2013,青海,2101.05,1228.0484,66.7797,0.0543787199266739
216,2013,宁夏,2565.06,922.4819,32.9285,0.0356955513165082
217,2013,新疆,8360.24,3067.1241,68.9919,0.0224940034216418
218,2014,北京,21330.83,4524.669,213.3553,0.0471537918022291
219,2014,天津,15726.93,2884.6993,57.9312,0.0200822317944889
220,2014,河北,29421.15,4677.2981,193.4322,0.0413555424230925
221,2014,山西,12761.49,3085.2826,95.2555,0.0308741572003809
222,2014,内蒙古,17770.19,3879.9789,142.7534,0.0367923134839728
223,2014,辽宁,28626.58,5080.4858,106.0954,0.020882924227443
224,2014,吉林,13803.14,2913.2468,140.3017,0.0481599087313852
225,2014,黑龙江,15039.38,3434.2184,111.5668,0.0324868098080192
226,2014,上海,23567.7,4923.4372,77.3187,0.0157042116836587
227,2014,江苏,65088.32,8472.4466,237.7844,0.028065612122005
228,2014,浙江,40173.03,5159.568,120.653,0.0233843220982842
229,2014,安徽,20848.75,4664.0973,104.7646,0.0224619241969931
230,2014,福建,24055.76,3306.6986,61.7958,0.0186880654922707
231,2014,江西,15714.63,3882.7011,68.1277,0.0175464704197807
232,2014,山东,59426.59,7177.3136,166.6733,0.0232222401428858
233,2014,河南,34938.24,6028.694,119.9451,0.0198957021205588
234,2014,湖北,27379.22,4934.1457,103.7752,0.0210320501885463
235,2014,湖南,27037.32,5017.3828,137.4932,0.027403370538122
236,2014,广东,67809.85,9152.6351,259.0367,0.0283018712283198
