row_id,全国主要城市间公路里程表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
45,湖北省,0.001953125,0.000798084596967279,0.000864304235090752,0.000642260757867694,0.000816326530612245,0.000712250712250712,0.000726216412490922,0,0.00102669404517454,0.00188323917137476,0.000388802488335925,0,0.00255102040816327,0.000452079566003617,0.0014836795252225,0.0023148148148148,0.0005271481286241,0.0006191950464396,0.000646830530401,0.0005614823133071,0.0011198208286674,0.0009746588693957,0.0011547344110854,0.001088139281828,0.0006702412868632,0.0008382229673093,0.000274574409665,0.0002781641168289,0.0004965243296921,0.0011428571428571,0.000812347684809
46,湖南省,0.00110619469026549,0.00060790273556231,0.000884955752212389,0.000528820729772607,0.00120048019207683,0.000988142292490119,0.00104493207941484,0,0.000732064421669107,0.00108342361863489,0.000337381916329285,0.00255102040816327,0,0.000384024577572965,0.0009380863039399,0.0024691358024691,0.000436871996505,0.0004982561036372,0.000531914893617,0.0004728132387706,0.0007782101167315,0.0007052186177715,0.0008333333333333,0.0008176614881439,0.0005707762557077,0.0006309148264984,0.0002562788313685,0.0002545176889793,0.000616522811344,0.0009900990099009,0.0007380073800738
47,吉林省,0.000496277915632754,0.000968992248062015,0.000315855969677827,0.000551267916207277,0.000294724432655467,0.000276548672566372,0.000274047684297068,0,0.0007627765064836,0.000570450656018254,0.00277777777777778,0.000452079566003617,0.000384024577572965,0,0.0004878048780487,0.000397140587768,0.0031746031746031,0.0006211180124223,0.0004376367614879,0.0003291639236339,0.0007320644216691,0.0006514657980456,0.0004432624113475,0.0004168403501458,0.0003131850923896,0.000981354268891,0.000202922077922,0.0002061005770816,0.0002347417840375,0.0004163197335553,0.0003156565656565
48,江苏省,0.00617283950617284,0.000876424189307625,0.000896057347670251,0.000543478260869565,0.000649350649350649,0.000494315373208107,0.000508130081300813,0,0.00101112234580384,0.00134048257372654,0.0004149377593361,0.00148367952522255,0.000938086303939962,0.00048780487804878,0.0,0.0015037593984962,0.0005763688760806,0.0005817335660267,0.0005467468562055,0.000484496124031,0.0014619883040935,0.0008244023083264,0.000870322019147,0.0028653295128939,0.0004616805170821,0.0009699321047526,0.0002529084471421,0.0002578648788035,0.0003797949107481,0.002840909090909,0.0005249343832021
49,江西省,0.00198807157057654,0.000621504039776259,0.00137931034482759,0.000502765208647562,0.00114285714285714,0.000736377025036819,0.000767459708365311,0,0.000711237553342817,0.00103842159916926,0.000347463516330785,0.00231481481481481,0.00246913580246914,0.00039714058776807,0.0015037593984962,0.0,0.0004539264639128,0.0004885197850512,0.0005055611729019,0.000451875282422,0.0008680555555555,0.0006858710562414,0.0007704160246533,0.001194743130227,0.0005197505197505,0.000667111407605,0.0002454590083456,0.0002483238142537,0.0005081300813008,0.0016025641025641,0.0005681818181818
50,辽宁省,0.000588235294117647,0.00139470013947001,0.000350754121360926,0.00040016006402561,0.00032488628979857,0.000302938503483793,0.0002999400119976,0,0.00100401606425703,0.000695410292072323,0.00148148148148148,0.000527148128624143,0.000436871996505024,0.00317460317460317,0.0005763688760806,0.0004539264639128,0.0,0.0007722007722007,0.0005076142131979,0.0003672420124862,0.0009514747859181,0.0008196721311475,0.0005151983513652,0.0004798464491362,0.0003474635163307,0.0014204545454545,0.0002167786689789,0.0002204099625303,0.000253485424588,0.0004791566842357,0.0003505082369435
51,内蒙古自治区,0.000593824228028504,0.00173010380622837,0.000360750360750361,0.000830564784053156,0.000352112676056338,0.000331235508446505,0.000388349514563107,0,0.001230012300123,0.000922509225092251,0.000521376433785193,0.000619195046439629,0.00049825610363727,0.00062111801242236,0.0005817335660267,0.0004885197850512,0.0007722007722007,0.0,0.0014814814814814,0.0007002801120448,0.0009661835748792,0.0016977928692699,0.0008680555555555,0.0004835589941972,0.0004786979415988,0.0014367816091954,0.0002359046945034,0.000308451573103,0.0003168567807351,0.0004828585224529,0.000484496124031
52,宁夏回族自治区,0.000599880023995201,0.000798084596967279,0.000369959304476508,0.00189035916824197,0.000368595650571323,0.000363240101707228,0.000475511174512601,0,0.000893655049151028,0.000829187396351575,0.000385653682992673,0.000646830530401035,0.000531914893617021,0.000437636761487965,0.0005467468562055,0.0005055611729019,0.0005076142131979,0.0014814814814814,0.0,0.0013280212483399,0.0006978367062107,0.0011173184357541,0.0014705882352941,0.0004591368227731,0.0006199628022318,0.0007293946024799,0.0003783579265985,0.0003895597974289,0.0003725782414307,0.0004585052728106,0.0006281407035175
53,青海省,0.000525762355415352,0.000498504486540379,0.000340367597004765,0.00446428571428571,0.00033921302578019,0.000375516334960571,0.000496770988574267,0,0.000578703703703704,0.000686341798215511,0.000298864315600717,0.000561482313307131,0.000472813238770686,0.00032916392363397,0.000484496124031,0.000451875282422,0.0003672420124862,0.0007002801120448,0.0013280212483399,0.0,0.0005288207297726,0.0006648936170212,0.0010928961748633,0.0004144218814753,0.0007645259938837,0.0004852013585638,0.0005291005291005,0.000548245614035,0.0004163197335553,0.0004139072847682,0.0006657789613848
54,山东省,0.00154083204930663,0.00218818380743982,0.000555555555555556,0.000599880023995201,0.000493339911198816,0.00043535045711798,0.000440528634361233,0,0.00318471337579618,0.00230414746543779,0.000579374275782155,0.00111982082866741,0.000778210116731518,0.000732064421669107,0.0014619883040935,0.0008680555555555,0.0009514747859181,0.0009661835748792,0.0006978367062107,0.0005288207297726,0.0,0.0018587360594795,0.0010245901639344,0.0009680542110358,0.0005227391531625,0.0028818443804034,0.0002644802962179,0.0002699055330634,0.000343997248022,0.0009652509652509,0.0005296610169491
