row_id,地区,id,year,年末就业人数（万人）,固定资本存量,能源消耗总量(万吨标准煤),地区GDP（亿元）,工业废水（万吨）,工业二氧化硫（万吨）,一般工业固体废弃物（万吨）,id.1,year.1,规模报酬可变+全局,规模报酬可变+非全局,规模报酬不变+全局,规模报酬不变+非全局,id.2,year.2,规模报酬可变+全局.1,规模报酬可变+非全局.1,规模报酬不变+全局.1,规模报酬不变+非全局.1
62,天津市,2,2013,847.46,31479.5427314022,7882.0,14442.01,18692.0,20.7793,1592.0,2,2013,0.998696753530378,1.09719378267401,1.02970355994913,1.43341443325529,2,2013,0.968094822793792,1.19391293701203,1.03773699919526,1.64929603273454
63,河北省,3,2013,4032.0,54771.8763638397,29664.0,28442.95,109876.0,117.3147,43289.0,3,2013,0.980986780695116,1.05411968320958,0.987184105851517,1.01162532081911,3,2013,0.950320313203341,1.09555007876985,0.963850735497545,1.01278603873054
64,山西省,4,2013,1855.0,25597.9674839931,19761.0,12665.25,47795.0,114.0835,30520.0,4,2013,0.944716827945216,0.955573087441802,0.942425095483668,0.960765629127458,4,2013,0.898601842543754,0.924026957167337,0.904423462498975,0.939607621475813
65,内蒙古自治区,5,2013,1370.0,40113.2895189017,17681.0,16916.5,36986.0,123.6409,20081.0,5,2013,0.977260056716133,1.00245889134971,0.980717839544273,1.01520858085724,5,2013,0.95388422052875,1.00745947045126,0.966396126239663,1.03874216864652
66,辽宁省,6,2013,2518.9,52507.9911195677,21721.0,27213.22,78286.0,94.733,26759.0,6,2013,1.00212718182386,1.10866460889569,1.01661410714056,1.04433002196399,6,2013,0.992007118770286,1.22194762811298,1.02422732582102,1.08079365959125
67,吉林省,7,2013,1457.0,33197.644742202,8645.0,13046.4,42656.0,33.0956,4591.0,7,2013,1.03683982396096,1.06797481804727,1.05028328490752,1.08656065640384,7,2013,1.04686437568451,1.11739138042037,1.08639477801768,1.16239459225476
68,黑龙江省,8,2013,2060.4,26977.3052010213,11853.0,14454.91,47796.0,35.2732,6094.0,8,2013,0.969788566689452,0.992923539570183,0.965707968922419,0.999554532405258,8,2013,0.922137999471644,0.96409712945415,0.931844090399763,0.983722286668738
69,上海市,9,2013,1137.35,34323.1836571733,11346.0,21818.15,45426.0,17.2867,2054.0,9,2013,1.02232234513507,1.19836277792794,1.04185761335332,1.22445962006995,9,2013,1.02601928545817,1.2048303990471,1.05611630625326,1.38893878978333
70,江苏省,10,2013,4791.9,90831.651232368,29205.0,59753.37,220559.0,90.9478,10856.0,10,2013,1.09061652387418,1.15498045585284,1.03533330998338,1.01274184384105,10,2013,1.15994652369481,1.331081896371,1.04564425734209,0.965023422606621
71,浙江省,11,2013,3436.0,59359.7865694153,18640.0,37756.58,163674.0,57.9104,4300.0,11,2013,1.00663986040321,1.25574139393341,1.01999031162358,1.04789897179958,11,2013,1.00249504057076,1.56130500804413,1.02615499330026,1.0429603078338
72,安徽省,12,2013,4275.9,29289.5699168979,11696.0,19229.34,70972.0,45.0223,11937.0,12,2013,0.989383498633886,0.881933830561564,1.00431454111108,0.942729790553807,12,2013,0.966927264053355,0.819124426111969,0.997460016822611,0.911712036715021
