row_id,证券代码,证券简称,统计截止日期,年份,营业收入（亿元）,所属省份,Unnamed: 8
250,300147.0,香雪制药,2011-12-31,2011.0,616090220.86,广东省,
251,300151.0,昌红科技,2011-12-31,2011.0,342795871.69,广东省,
252,300154.0,瑞凌股份,2011-12-31,2011.0,759514864.86,广东省,
253,300155.0,安居宝,2011-12-31,2011.0,253216897.2,广东省,
254,300162.0,雷曼光电,2011-12-31,2011.0,263749973.73,广东省,
255,300173.0,松德股份,2011-12-31,2011.0,238264883.64,广东省,
256,300177.0,中海达,2011-12-31,2011.0,309633382.63,广东省,
257,300186.0,大华农,2011-12-31,2011.0,715631708.33,广东省,
258,300193.0,佳士科技,2011-12-31,2011.0,594110088.63,广东省,
259,300199.0,翰宇药业,2011-12-31,2011.0,165681027.94,广东省,
260,300206.0,理邦仪器,2011-12-31,2011.0,375294090.31,广东省,
261,300207.0,欣旺达,2011-12-31,2011.0,1031493577.35,广东省,
262,300219.0,鸿利光电,2011-12-31,2011.0,549053825.88,广东省,
263,300227.0,光韵达,2011-12-31,2011.0,128730603.49,广东省,
264,300232.0,洲明科技,2011-12-31,2011.0,532155561.88,广东省,
265,300238.0,冠昊生物,2011-12-31,2011.0,128510115.89,广东省,
266,300241.0,瑞丰光电,2011-12-31,2011.0,291378193.8,广东省,
267,300246.0,宝莱特,2011-12-31,2011.0,158103676.23,广东省,
268,300252.0,金信诺,2011-12-31,2011.0,505886671.79,广东省,
269,300273.0,和佳股份,2011-12-31,2011.0,488746323.11,广东省,
270,300281.0,金明精机,2011-12-31,2011.0,262967302.53,广东省,
271,600098.0,广州控股,2011-12-31,2011.0,10817527588.41,广东省,
272,600183.0,生益科技,2011-12-31,2011.0,5876903981.4,广东省,
273,600332.0,广州药业,2011-12-31,2011.0,5439611618.46,广东省,
274,600380.0,健康元,2011-12-31,2011.0,4791513530.93,广东省,
275,600499.0,科达机电,2011-12-31,2011.0,2492549075.22,广东省,
276,600518.0,康美药业,2011-12-31,2011.0,6080507225.35,广东省,
277,600525.0,长园集团,2011-12-31,2011.0,1940693566.5,广东省,
278,600868.0,ST 梅雁,2011-12-31,2011.0,655629693.81,广东省,
279,600894.0,广钢股份,2011-12-31,2011.0,6181009421.36,广东省,
280,601139.0,深圳燃气,2011-12-31,2011.0,8112452908.66,广东省,
281,,,,,710997370979.17,广东省 汇总,
282,528.0,柳工,2011-12-31,2011.0,17878280085.86,广西壮族自治区,
283,703.0,恒逸石化,2011-12-31,2011.0,31513003170.84,广西壮族自治区,
284,806.0,银河科技,2011-12-31,2011.0,957576055.58,广西壮族自治区,
285,953.0,ST 河化,2011-12-31,2011.0,760362685.76,广西壮族自治区,
286,2166.0,莱茵生物,2011-12-31,2011.0,127160740.58,广西壮族自治区,
287,2175.0,广陆数测,2011-12-31,2011.0,161963099.68,广西壮族自治区,
288,2275.0,桂林三金,2011-12-31,2011.0,1161780761.88,广西壮族自治区,
289,600236.0,桂冠电力,2011-12-31,2011.0,3837630896.12,广西壮族自治区,
290,600252.0,中恒集团,2011-12-31,2011.0,1150551265.54,广西壮族自治区,
291,600310.0,桂东电力,2011-12-31,2011.0,2056279180.13,广西壮族自治区,
292,,,,,59604587941.97,广西壮族自治区 汇总,
293,733.0,振华科技,2011-12-31,2011.0,3339397310.92,贵州省,
294,2025.0,航天电器,2011-12-31,2011.0,860194935.1,贵州省,
295,2039.0,黔源电力,2011-12-31,2011.0,976872950.64,贵州省,
296,2390.0,信邦制药,2011-12-31,2011.0,361864803.52,贵州省,
297,2424.0,贵州百灵,2011-12-31,2011.0,1138426679.15,贵州省,
298,600112.0,长征电气,2011-12-31,2011.0,474120679.01,贵州省,
299,600145.0,ST 国创,2011-12-31,2011.0,163140797.3,贵州省,
300,600227.0,赤天化,2011-12-31,2011.0,1960950050.36,贵州省,
301,600594.0,益佰制药,2011-12-31,2011.0,1903335252.07,贵州省,
302,,,,,11178303458.07,贵州省 汇总,
303,566.0,海南海药,2011-12-31,2011.0,721847493.42,海南省,
304,657.0,*ST 中钨,2011-12-31,2011.0,1448802290.75,海南省,
305,2596.0,海南瑞泽,2011-12-31,2011.0,713966437.11,海南省,
306,300086.0,康芝药业,2011-12-31,2011.0,304241891.2,海南省,
307,,,,,3188858112.48,海南省 汇总,
308,401.0,冀东水泥,2011-12-31,2011.0,15728165471.61,河北省,
309,413.0,宝石A,2011-12-31,2011.0,104425459.95,河北省,
310,600.0,建投能源,2011-12-31,2011.0,6032156325.15,河北省,
311,687.0,保定天鹅,2011-12-31,2011.0,966298045.21,河北省,
312,856.0,ST 唐陶,2011-12-31,2011.0,2211060276.62,河北省,
313,2049.0,晶源电子,2011-12-31,2011.0,287686403.22,河北省,
314,2282.0,博深工具,2011-12-31,2011.0,560991753.02,河北省,
315,2459.0,天业通联,2011-12-31,2011.0,999390057.88,河北省,
316,2603.0,以岭药业,2011-12-31,2011.0,1953211430.93,河北省,
317,300137.0,先河环保,2011-12-31,2011.0,146557775.63,河北省,
318,300255.0,常山药业,2011-12-31,2011.0,423479330.56,河北省,
319,600149.0,*ST 建通,2011-12-31,2011.0,6571812.0,河北省,
320,600550.0,天威保变,2011-12-31,2011.0,5345826411.51,河北省,
321,600803.0,威远生化,2011-12-31,2011.0,1777703844.83,河北省,
322,600812.0,华北制药,2011-12-31,2011.0,12136745653.46,河北省,
323,,,,,48680270051.58,河北省 汇总,
324,400.0,许继电气,2011-12-31,2011.0,4362305057.28,河南省,
325,544.0,中原环保,2011-12-31,2011.0,392886702.17,河南省,
326,612.0,焦作万方,2011-12-31,2011.0,5969513086.88,河南省,
327,933.0,神火股份,2011-12-31,2011.0,30699073305.39,河南省,
328,949.0,新乡化纤,2011-12-31,2011.0,3968552504.44,河南省,
329,1896.0,豫能控股,2011-12-31,2011.0,4411452070.63,河南省,
330,2007.0,华兰生物,2011-12-31,2011.0,961395932.25,河南省,
331,2046.0,轴研科技,2011-12-31,2011.0,616155474.26,河南省,
332,2179.0,中航光电,2011-12-31,2011.0,1866358387.54,河南省,
333,2189.0,利达光电,2011-12-31,2011.0,489724650.72,河南省,
334,2225.0,濮耐股份,2011-12-31,2011.0,2020548329.18,河南省,
335,2296.0,辉煌科技,2011-12-31,2011.0,344955214.37,河南省,
