row_id,year,id,GDP（亿元）,第一产业增加值（亿元）,第二产业增加值（亿元）,第三产业增加值（亿元）,第一产业占比,第二产业占比,第三产业占比,自2014年开始统计年鉴采用 一二三产业增加值
229,2008,安徽,8874.17,1418.08,4137.35,3318.74,0.159798606517567,0.466223883473046,0.373977510009387,
230,2008,福建,10823.11,1157.75,5415.77,4249.59,0.106970177703082,0.500389444438798,0.39264037785812,
231,2008,江西,6480.33,1060.38,3414.88,2005.07,0.163630555851322,0.526960818353386,0.309408625795291,
232,2008,山东,31072.06,3002.65,17702.17,10367.23,0.0966350476923641,0.569713433869528,0.333651196605568,
233,2008,河南,18407.78,2658.8,10477.92,5271.06,0.144438927453501,0.569211496443352,0.286349576103148,
234,2008,湖北,11330.38,1780.0,4963.61,4586.77,0.157099761879125,0.438079746663395,0.40482049145748,
235,2008,湖南,11156.64,2007.4,4933.08,4216.16,0.179928724060291,0.442165383126102,0.377905892813607,
236,2008,广东,35696.46,1970.23,18402.64,15323.59,0.0551939884235019,0.51553123194849,0.429274779628008,
237,2008,广西,7171.58,1453.9,3037.74,2679.94,0.202730778991519,0.423580298902055,0.373688922106426,
238,2008,海南,1459.23,437.61,434.4,587.22,0.299891038424374,0.297691248124011,0.402417713451615,
239,2008,重庆,5096.66,575.4,2433.27,2087.99,0.112897466183736,0.477424430901806,0.409678102914458,
240,2008,四川,12506.25,2366.15,5790.1,4350.0,0.18919740129935,0.462976511744128,0.347826086956522,
241,2008,贵州,3333.4,547.85,1408.71,1376.84,0.164351712965741,0.422604547909042,0.413043739125217,
242,2008,云南,5700.1,1020.94,2451.09,2228.07,0.179109138436168,0.430008245469378,0.390882616094454,
243,2008,西藏,395.91,60.51,115.76,219.64,0.152837766158976,0.292389684524261,0.554772549316764,
244,2008,陕西,6851.32,753.72,3842.08,2255.52,0.110010917604199,0.560779528616383,0.329209553779418,
245,2008,甘肃,3176.11,463.0,1471.43,1241.68,0.145775807512964,0.463280553885098,0.390943638601938,
246,2008,青海,961.53,105.58,529.4,326.55,0.109804166276663,0.550580845111437,0.3396149886119,
