row_id,年度,地区,地区编号,人均国内生产总值(现价)(元/人),2000-2020年人均GDP（万元）
445,2014,浙江省,11,73002.0534254043,
446,2014,安徽省,12,34424.6121839061,
447,2014,福建省,13,63472.0,
448,2014,江西省,14,34674.0,
449,2014,山东省,15,60879.1047579211,
450,2014,河南省,16,37071.7173324845,
451,2014,湖北省,17,47144.6,
452,2014,湖南省,18,40270.5442512074,
453,2014,广东省,19,63469.0,
454,2014,广西壮族自治区,20,33089.6090046007,
455,2014,海南省,21,38923.7,
456,2014,重庆市,22,47850.0,
457,2014,四川省,23,35128.0,
458,2014,贵州省,24,26437.0,
459,2014,云南省,25,27263.6349130365,
460,2014,西藏自治区,26,29252.0,
461,2014,陕西省,27,46929.0,
462,2014,甘肃省,28,26432.9157307621,
463,2014,青海省,29,39671.0,
464,2014,宁夏回族自治区,30,41834.0,
465,2014,新疆维吾尔自治区,31,40648.0,
466,2015,北京市,1,106497.0,
467,2015,天津市,2,107960.088257566,
468,2015,河北省,3,40255.0,
469,2015,山西省,4,34918.71,
470,2015,内蒙古自治区,5,71100.5442070324,
471,2015,辽宁省,6,65354.4122005152,
472,2015,吉林省,7,51086.0,
473,2015,黑龙江省,8,39461.5644220732,
474,2015,上海市,9,103795.536000165,
475,2015,江苏省,10,87995.0,
476,2015,浙江省,11,77643.6860686159,
477,2015,安徽省,12,35996.5641199734,
478,2015,福建省,13,67965.5199476782,
479,2015,江西省,14,36724.0,
480,2015,山东省,15,64168.3000969109,
481,2015,河南省,16,39122.61,
482,2015,湖北省,17,50653.85,
483,2015,湖南省,18,42753.86,
484,2015,广东省,19,67503.0,
485,2015,广西壮族自治区,20,35190.0,
486,2015,海南省,21,40818.0,
487,2015,重庆市,22,52321.0,
488,2015,四川省,23,36775.0,
489,2015,贵州省,24,29847.2477598706,
490,2015,云南省,25,28806.0,
491,2015,西藏自治区,26,31999.0,
492,2015,陕西省,27,47626.0,
493,2015,甘肃省,28,26165.2607760794,
494,2015,青海省,29,41252.0,
495,2015,宁夏回族自治区,30,43805.0,
496,2015,新疆维吾尔自治区,31,40036.0,
497,2016,北京市,1,118198.0,
498,2016,天津市,2,115053.0,
499,2016,河北省,3,43062.0,
500,2016,山西省,4,35532.0,
501,2016,内蒙古自治区,5,72064.0,
502,2016,辽宁省,6,50791.0,
503,2016,吉林省,7,53868.0,
504,2016,黑龙江省,8,40432.0,
505,2016,上海市,9,116562.0,
506,2016,江苏省,10,96887.0,
507,2016,浙江省,11,84916.0,
508,2016,安徽省,12,39561.0,
509,2016,福建省,13,74707.0,
510,2016,江西省,14,40400.0,
511,2016,山东省,15,68733.0,
512,2016,河南省,16,42575.0,
513,2016,湖北省,17,55665.0,
514,2016,湖南省,18,46382.0,
515,2016,广东省,19,74016.0,
516,2016,广西壮族自治区,20,38027.0,
517,2016,海南省,21,44347.0,
518,2016,重庆市,22,58502.0,
519,2016,四川省,23,40003.0,
520,2016,贵州省,24,33246.0,
521,2016,云南省,25,31093.0,
522,2016,西藏自治区,26,35184.0,
523,2016,陕西省,27,51015.0,
524,2016,甘肃省,28,27643.0,
525,2016,青海省,29,43531.0,
