row_id,province,year,地方财政一般预算收入(亿元)
347,四川省,2020年,4260.89
348,四川省,2021年,4773.15
349,四川省,2022年,4880.55
350,四川省,2023年,5529.09
351,天津市,2010年,1068.81
352,天津市,2011年,1455.13
353,天津市,2012年,1760.02
354,天津市,2013年,2079.07
355,天津市,2014年,2390.35
356,天津市,2015年,2667.11
357,天津市,2016年,2723.5
358,天津市,2017年,2310.36
359,天津市,2018年,2106.24
360,天津市,2019年,2410.41
361,天津市,2020年,1923.11
362,天津市,2021年,2141.06
363,天津市,2022年,1846.69
364,天津市,2023年,2027.51
365,西藏自治区,2010年,36.65
366,西藏自治区,2011年,54.76
367,西藏自治区,2012年,86.58
368,西藏自治区,2013年,95.02
369,西藏自治区,2014年,124.27
370,西藏自治区,2015年,137.13
371,西藏自治区,2016年,155.99
372,西藏自治区,2017年,185.83
373,西藏自治区,2018年,230.35
374,西藏自治区,2019年,221.99
375,西藏自治区,2020年,220.99
376,西藏自治区,2021年,215.62
377,西藏自治区,2022年,179.63
378,西藏自治区,2023年,236.62
379,新疆维吾尔自治区,2010年,500.58
380,新疆维吾尔自治区,2011年,720.43
381,新疆维吾尔自治区,2012年,908.97
382,新疆维吾尔自治区,2013年,1128.49
383,新疆维吾尔自治区,2014年,1282.34
384,新疆维吾尔自治区,2015年,1330.9
385,新疆维吾尔自治区,2016年,1298.95
386,新疆维吾尔自治区,2017年,1466.52
387,新疆维吾尔自治区,2018年,1531.42
388,新疆维吾尔自治区,2019年,1577.63
389,新疆维吾尔自治区,2020年,1477.22
390,新疆维吾尔自治区,2021年,1618.61
391,新疆维吾尔自治区,2022年,1889.76
392,新疆维吾尔自治区,2023年,2179.69
393,云南省,2010年,871.19
394,云南省,2011年,1111.16
395,云南省,2012年,1338.15
396,云南省,2013年,1611.3
397,云南省,2014年,1698.06
398,云南省,2015年,1808.1
399,云南省,2016年,1812.29
400,云南省,2017年,1886.17
401,云南省,2018年,1994.35
402,云南省,2019年,2073.56
403,云南省,2020年,2116.69
404,云南省,2021年,2278.29
