row_id,year,region,resilience,weight_method,gi_star_z,p_value,gi_bin,class_95
206,2009,海南,0.398496,Fixed Distance Band,-1.260267,0.207573,0,Not Significant
207,2009,湖北,0.38964,Fixed Distance Band,0.6804,0.496251,0,Not Significant
208,2009,湖南,0.355425,Fixed Distance Band,-0.398401,0.690335,0,Not Significant
209,2009,甘肃,0.314071,Fixed Distance Band,-1.137357,0.255389,0,Not Significant
210,2009,福建,0.430698,Fixed Distance Band,0.924344,0.355307,0,Not Significant
211,2009,西藏,0.289273,Fixed Distance Band,-1.165679,0.243744,0,Not Significant
212,2009,贵州,0.258266,Fixed Distance Band,-1.981637,0.04752,-2,Cold Spot
213,2009,辽宁,0.403443,Fixed Distance Band,2.310664,0.020851,2,Hot Spot
214,2009,重庆,0.380043,Fixed Distance Band,-2.377455,0.017433,-2,Cold Spot
215,2009,陕西,0.387359,Fixed Distance Band,0.200076,0.841421,0,Not Significant
216,2009,青海,0.378346,Fixed Distance Band,-1.842014,0.065473,-1,Not Significant
217,2009,黑龙江,0.329343,Fixed Distance Band,-0.688278,0.491278,0,Not Significant
218,2009,上海,0.499526,Queen Contiguity,2.635905,0.008391,3,Hot Spot
219,2009,云南,0.329405,Queen Contiguity,-2.820336,0.004797,-3,Cold Spot
220,2009,内蒙古,0.398484,Queen Contiguity,-0.763667,0.445066,0,Not Significant
221,2009,北京,0.641868,Queen Contiguity,2.685141,0.00725,3,Hot Spot
222,2009,吉林,0.366573,Queen Contiguity,-0.594703,0.552042,0,Not Significant
223,2009,四川,0.321027,Queen Contiguity,-2.645911,0.008147,-3,Cold Spot
224,2009,天津,0.469221,Queen Contiguity,2.685141,0.00725,3,Hot Spot
225,2009,宁夏,0.378931,Queen Contiguity,-0.722006,0.470291,0,Not Significant
226,2009,安徽,0.357104,Queen Contiguity,0.896607,0.369929,0,Not Significant
227,2009,山东,0.465555,Queen Contiguity,0.870342,0.384114,0,Not Significant
228,2009,山西,0.405067,Queen Contiguity,-0.151265,0.879767,0,Not Significant
229,2009,广东,0.493153,Queen Contiguity,-0.134334,0.893138,0,Not Significant
230,2009,广西,0.323496,Queen Contiguity,-1.260267,0.207573,0,Not Significant
231,2009,新疆,0.368908,Queen Contiguity,-1.581372,0.113793,0,Not Significant
232,2009,江苏,0.535519,Queen Contiguity,2.298172,0.021552,2,Hot Spot
233,2009,江西,0.358475,Queen Contiguity,0.58978,0.555338,0,Not Significant
234,2009,河北,0.432254,Queen Contiguity,1.940637,0.052302,1,Not Significant
235,2009,河南,0.335311,Queen Contiguity,-0.022824,0.98179,0,Not Significant
236,2009,浙江,0.501818,Queen Contiguity,1.72424,0.084664,1,Not Significant
237,2009,海南,0.398496,Queen Contiguity,-0.651998,0.514402,0,Not Significant
238,2009,湖北,0.38964,Queen Contiguity,-1.145347,0.252066,0,Not Significant
239,2009,湖南,0.355425,Queen Contiguity,-1.171452,0.241417,0,Not Significant
240,2009,甘肃,0.314071,Queen Contiguity,-1.23255,0.217744,0,Not Significant
241,2009,福建,0.430698,Queen Contiguity,1.32376,0.185583,0,Not Significant
242,2009,西藏,0.289273,Queen Contiguity,-1.809577,0.070361,-1,Not Significant
243,2009,贵州,0.258266,Queen Contiguity,-2.343874,0.019085,-2,Cold Spot
244,2009,辽宁,0.403443,Queen Contiguity,0.094889,0.924403,0,Not Significant
245,2009,重庆,0.380043,Queen Contiguity,-1.638269,0.101366,0,Not Significant
246,2009,陕西,0.387359,Queen Contiguity,-1.286232,0.198362,0,Not Significant
247,2009,青海,0.378346,Queen Contiguity,-1.903231,0.05701,-1,Not Significant
248,2009,黑龙江,0.329343,Queen Contiguity,-0.725957,0.467865,0,Not Significant
249,2009,上海,0.499526,4-Nearest Neighbors,2.298172,0.021552,2,Hot Spot
250,2009,云南,0.329405,4-Nearest Neighbors,-2.265949,0.023454,-2,Cold Spot
