row_id,admincode,region,zone,year,urb,gov,inno,edu,openpc,fin,dig,pri,inc,soc
890,520000,贵州,西部,2004,26.8632707774799,25.3680126106463,1.25471460900176,20.9039476992708,3877374.48770492,3.57705832423912,1.18483412322275,9.22131147540984,3358,8.90118179532311
891,520000,贵州,西部,2005,26.8632707774799,26.8431362441363,1.25471460900176,20.9039476992708,3762927.61394102,3.64451775864735,1.18483412322275,10.9919571045576,3625,8.90118179532311
892,520000,贵州,西部,2006,27.4525745257453,26.9705401704872,1.25471460900176,20.9039476992708,4384046.0704607,3.90000441676604,1.18483412322275,13.2791327913279,4016,8.90118179532311
893,520000,贵州,西部,2007,28.2488986784141,27.9332748024583,1.25471460900176,20.9039476992708,6250825.99118943,4.52677787532924,1.18483412322275,15.1431718061674,4817,8.90118179532311
894,520000,贵州,西部,2008,29.1156840934371,30.0696247681552,1.23269342089031,21.804154527942,9360978.86540601,4.44000570694821,1.18483412322275,17.797552836485,5533,10.1974776758178
895,520000,贵州,西部,2009,29.8840825558383,35.5814556486115,1.03988282189365,18.7076887201498,6514594.28894543,5.15725879638033,1.09739368998628,20.3562340966921,6099,10.9337083810037
896,520000,贵州,西部,2010,33.8028169014084,36.1026775835362,1.02115870252777,17.9015372545174,9045130.78470825,5.71365346315557,1.2037449843959,22.4202356999138,7226,8.62774903768358
897,520000,贵州,西部,2011,35.042492917847,40.0562718142318,0.963812572241487,16.7538010136036,13845832.8611898,5.97442837808961,1.12033195020747,26.9121813031161,8594,8.65919800835778
898,520000,贵州,西部,2012,36.2977418455534,40.872118892943,1.0516460546943,18.1628490971375,18487761.3604684,6.09889946901605,0.927643784786642,40.1449679397826,9850,8.54235615165767
899,520000,贵州,西部,2013,37.8854625550661,38.6632551955952,1.11170223118995,18.187863728079,22825167.9515418,6.36013595715594,1.14593865857769,53.6894273127753,11083,8.58090091025283
900,520000,贵州,西部,2014,40.2502039706282,38.6216219162551,1.25155244439426,17.9809754996048,29293788.4144683,6.27159847815896,1.08303249097473,71.2537394615175,12371,8.45997516088969
901,520000,贵州,西部,2015,42.9611650485437,37.3731145052652,1.48952912806194,19.6194948597538,32959595.4692557,6.0952471302533,1.07317073170732,91.1542610571737,13697,8.63891356771164
902,520000,贵州,西部,2016,45.5561468866418,36.1449747294868,1.6258598522884,19.7904447301495,15166623.2038318,6.24215596485872,1.15942028985507,106.971793507185,15121,8.61564954626076
903,520000,贵州,西部,2017,47.7517749145412,33.902127096594,1.90178037168402,19.5546035572746,21462826.7157507,6.42759492554427,1.20558375634518,130.16039968446,16704,10.8127444433845
904,520000,贵州,西部,2018,49.5290423861853,32.7598155433395,2.0454581603601,19.6026387364604,19892352.1716379,6.4631477477008,1.13452188006483,147.828362114076,18430,10.6907397687328
905,520000,贵州,西部,2019,51.481288981289,35.4739911624218,1.91855754327807,17.9469938171781,17069046.2577963,6.32107482125074,1.24571784490813,165.280665280665,20397,9.90176070899048
906,520000,贵州,西部,2020,53.1622602384655,32.135338514255,1.9721230072306,18.7009321369457,20504637.1176776,6.06817316521466,1.37190575603937,165.280665280665,21795,11.8212387838662
907,520000,贵州,西部,2021,54.3354101765317,28.727709084929,1.58031917653099,20.2030050035689,26090342.6791277,5.76762973698005,1.36620136620137,165.280665280665,23996,12.319119286012
908,520000,贵州,西部,2022,54.8236514522822,29.2415943709271,1.5186213119685,19.7446405621941,26296680.4979253,5.74701155399192,1.37488542621448,165.280665280665,25508,12.6203139099286
909,520000,贵州,西部,2023,55.9379042690815,29.6638980935577,1.29052017344488,19.3882682915035,27891332.4708926,5.86660163627931,1.35135135135135,165.280665280665,27098,13.2904556957944
910,520000,贵州,西部,2024,55.9379042690815,28.7748322458541,1.29052017344488,19.3882682915035,31347150.2590674,5.86660163627931,1.35135135135135,165.280665280665,28561,13.2904556957944
911,210000,辽宁,东部,1990,58.7064676616915,10.081466395112,2.19296256829982,14.2908155168114,45486328.8718929,4.10047522063815,1.19420516836335,17.6864244741874,1202,22.8410456390142
912,210000,辽宁,东部,1991,58.7064676616915,10.081466395112,2.19296256829982,14.2908155168114,45486328.8718929,4.10047522063815,1.19420516836335,17.6864244741874,1484,22.8410456390142
913,210000,辽宁,东部,1992,58.7064676616915,10.081466395112,2.19296256829982,14.2908155168114,45486328.8718929,4.10047522063815,1.19420516836335,17.6864244741874,1766,22.8410456390142
914,210000,辽宁,东部,1993,58.7064676616915,9.00636562562164,2.19296256829982,14.2908155168114,45486328.8718929,3.8889994032226,1.19420516836335,17.6864244741874,2049,22.8410456390142
915,210000,辽宁,东部,1994,58.7064676616915,9.08278495409863,2.19296256829982,14.2908155168114,45486328.8718929,3.83459257453895,1.19420516836335,17.6864244741874,2331,22.8410456390142
916,210000,辽宁,东部,1995,58.7064676616915,9.80167537767595,2.19296256829982,14.2908155168114,45486328.8718929,3.65862389919095,1.19420516836335,17.6864244741874,2613,22.8410456390142
917,210000,辽宁,东部,1996,58.7064676616915,9.96928143902207,2.19296256829982,14.2908155168114,45486328.8718929,3.43604522278874,1.19420516836335,17.6864244741874,2895,22.8410456390142
918,210000,辽宁,东部,1997,58.7064676616915,9.50732728541521,2.19296256829982,14.2908155168114,45486328.8718929,3.11235170969993,1.19420516836335,17.6864244741874,3177,22.8410456390142
919,210000,辽宁,东部,1998,58.7064676616915,10.0546152458974,2.19296256829982,14.2908155168114,45486328.8718929,2.87760517299122,1.19420516836335,17.6864244741874,3460,22.8410456390142
