row_id,province,province_2,region,year,gdp,primary_industry,primary_industry_2,tertiary_industry,tertiary_industry_2,secondary_industry,secondary_industry_2,industrial_structure,industrial_structure_2
136,340000,安徽省,安徽,2004,5129.12,950.51,18.5,2332.4,45.5,1846.21,36.0,1.26334490659242,2.27
137,350000,福建省,福建,2004,5712.08,762.85,13.4,2210.52,38.7,2738.71,47.9,0.80713912754545,2.253
138,360000,江西省,江西,2004,3398.06,664.52,19.56,1228.35,36.15,1505.19,44.3,0.81607637573994,2.1661
139,370000,山东省,山东,2004,13308.08,1748.22,13.1,4232.25,31.8,7327.61,55.1,0.577575771636318,2.187
140,410000,河南省,河南,2004,8411.19,1647.57,19.59,2682.88,31.9,4080.74,48.52,0.65744938418032,2.1233
141,420000,湖北省,湖北,2004,5546.78,1008.87,18.2,2264.38,40.8,2273.53,41.0,0.995975421481133,2.226
142,430000,湖南省,湖南,2004,5542.62,1022.45,18.5,2384.62,43.0,2135.55,38.5,1.11663037624968,2.245
143,440000,广东省,广东,2004,18658.34,1219.83,6.5,8246.8,44.2,9191.71,49.3,0.897199759348369,2.377
144,450000,广西壮族自治区,广西,2004,3305.12,810.14,24.5,1343.84,40.7,1151.14,34.8,1.1673992737634,2.162
145,460000,海南省,海南,2004,802.68,271.99,33.9,331.09,41.2,199.6,24.9,1.65876753507014,2.073
146,500000,重庆市,重庆,2004,3059.54,420.43,13.7,1246.56,40.8,1392.55,45.5,0.895163548885139,2.271
147,510000,四川省,四川,2004,6303.96,1329.07,21.1,2535.18,40.2,2439.71,38.7,1.03913170007911,2.191
148,520000,贵州省,贵州,2004,1649.4,335.1,20.3,647.28,39.1,667.02,40.6,0.970405684986957,2.188
149,530000,云南省,云南,2004,3136.38,607.75,19.38,1260.84,40.2,1267.79,40.42,0.994518019545824,2.2082
150,540000,西藏自治区,西藏,2004,217.93,42.13,19.33,124.49,57.2,51.31,23.5,2.42623270317677,2.3793
151,610000,陕西省,陕西,2004,3141.56,356.71,12.2,1278.8,38.9,1506.05,48.9,0.84910859533216,2.267
152,620000,甘肃省,甘肃,2004,1653.61,283.32,17.13,690.02,41.73,680.27,41.14,1.01433254443089,2.246
153,630000,青海省,青海,2004,443.73,58.09,13.1,231.23,52.1,154.41,34.8,1.4975066381711,2.39
154,640000,宁夏回族自治区,宁夏,2004,519.92,65.33,12.6,222.0,42.7,232.6,44.7,0.954428202923474,2.301
155,650000,新疆维吾尔自治区,新疆,2004,2170.43,439.18,20.2,844.12,38.9,887.13,40.9,0.951517815878169,2.187
156,110000,北京市,北京,2005,7149.77,86.9,1.2,5155.5,72.1,1907.4,26.7,2.70289399182133,2.709
157,120000,天津市,天津,2005,3158.6,112.38,3.6,1415.7,44.8,1630.5,51.6,0.868261269549218,2.412
158,130000,河北省,河北,2005,8773.4,1345.2,15.3,3304.2,37.7,4123.9,47.0,0.801231843643153,2.224
159,140000,山西省,山西,2005,4079.38,247.82,6.1,1442.05,35.3,2389.51,58.6,0.603491929307682,2.292
160,150000,内蒙古自治区,内蒙古,2005,3523.7,589.56,16.73,1556.34,44.2,1377.8,39.1,1.12958339381623,2.2753
161,210000,辽宁省,辽宁,2005,7260.77,854.42,11.77,2962.5,40.8,3443.85,47.43,0.860229104055055,2.2903
162,220000,吉林省,吉林,2005,2776.53,618.67,17.3,1155.45,39.0,1002.41,43.7,1.15267206033459,2.217
163,230000,黑龙江省,黑龙江,2005,4756.37,674.6,14.2,1425.4,30.0,2656.4,55.8,0.536590874868243,2.158
164,310000,上海市,上海,2005,9197.13,88.1,1.0,4794.2,52.1,4314.9,46.9,1.11108021043361,2.511
165,320000,江苏省,江苏,2005,18121.33,1390.2,7.67,6497.1,35.85,10234.1,56.48,0.634848203554783,2.2818
