row_id,admincode,region,zone,year,pcgdp,pcrs,fsr,tig,ruur,hbtp,ipr,hesp,gcr,wei,sdei,epes,ugpr,uwpr,pcura,ptvp
689,450000,广西,西部,2013,26416.0,10849.92601986895,41.06374292152199,43.767873782976125,3.3,39.67,38.0,1939.0,37.7,18.098952475820187,0.003791651939205039,2.0017639707417714,93.58,95.91,15.53,9.42
690,450000,广西,西部,2014,28603.0,12102.306079664571,40.8725813914058,44.369213559222246,3.2,42.41,39.0,2052.0,39.3,16.139772442926745,0.00343396281958816,2.413938772167286,92.99,94.4,15.75,9.19
691,450000,广西,西部,2015,30890.0,11996.466431095407,37.26863296363802,46.23254808147157,2.9,44.72,43.0,2178.0,37.6,14.871534957899147,0.002846369054859506,2.427247749974788,94.46,97.5,16.28,9.1
692,450000,广西,西部,2016,33340.0,13073.50216182829,35.03771078641061,47.74766389933361,2.9,46.4,46.0,2279.0,37.6,11.98677140339774,0.000855639526947371,2.042010941756535,95.85,97.7,17.06,9.77
693,450000,广西,西部,2017,36441.0,14342.775626655797,32.90442187611413,49.31846414137724,2.2,49.36,,2383.0,39.1,,0.0005913201841411523,1.7339132737773884,97.8,97.63,17.56,10.74
694,450000,广西,西部,2018,39837.0,15491.20679199515,31.661312736078212,50.50948144978042,2.3,51.96,,2602.0,39.9,,0.000512538338479096,1.496025036059005,98.15,97.8,19.42,10.78
695,450000,广西,西部,2019,42778.0,16218.185467683661,30.96739680325964,50.859109765457625,2.6,55.92,,2887.0,40.8,,0.0004478012534668105,1.706386644242996,98.84,98.88,21.92,10.1
696,450000,广西,西部,2020,44237.0,15154.612472604105,27.784583467514206,51.66200290223273,2.8,59.0,,3107.0,41.3,,0.00039690970982193303,1.6302368973390922,99.36,99.68,23.76,9.41
697,450000,广西,西部,2021,50137.0,16216.597180861625,31.002111412304057,50.1560944262191,2.5,63.34,,3432.0,40.2,,0.00029473483781650275,1.4380336654875365,99.47,99.81,23.92,8.41
698,450000,广西,西部,2022,51936.0,15934.21834753319,28.63784759694027,50.01241116470189,,67.7,,3651.0,42.2,,0.0002352393063495519,1.5408971513510212,99.44,99.91,24.4,11.56
699,450000,广西,西部,2023,54005.0,15957.429878655263,29.23605682002567,50.76794694585772,,72.01,,3819.0,42.4,,0.00028269564450195573,1.1543309125655388,99.21,99.89,24.48,
700,450000,广西,西部,2024,57071.0,16261.121085178536,28.330313707047424,50.95010715756699,,,,,,,,,,,,
701,460000,海南,东部,1990,,,42.422502870264054,,3.0,,,,,,,,,,,
702,460000,海南,东部,1991,,,48.014440433213,,2.6,,,,,,,,,,,
703,460000,海南,东部,1992,2719.0,,59.02996845425867,50.35154137371551,2.3,,,,,,,,,,,
704,460000,海南,东部,1993,3755.0,,59.787123572170294,45.122887864823355,2.4,,,,,,,,,,,
705,460000,海南,东部,1994,4702.0,,68.80779805048739,42.92168674698795,3.6,,,,,,,,,,,
706,460000,海南,东部,1995,5063.0,,67.3036093418259,42.912193779245804,4.2,,,,,,,,,,,
707,460000,海南,东部,1996,5346.0,,67.98051372896369,42.853477033615604,4.3,,,,,,,,,,,
708,460000,海南,东部,1997,5567.0,,65.28465346534654,43.65272373540856,4.3,,,,,,,,,,,
709,460000,海南,东部,1998,5912.0,,61.31852121653616,44.03980999773806,3.3,,,,,,,,,,,
710,460000,海南,东部,1999,6294.0,,63.6491722437478,43.63331235577932,3.2,,,,,,,,,,,
