row_id,admincode,region,zone,year,urir,rrd
237,650000,新疆,西部,2009,3.12,106.779661
238,650000,新疆,西部,2010,2.90006,112.128514
239,650000,新疆,西部,2011,2.812916,112.779553
240,650000,新疆,西部,2012,2.765998,119.331742
241,650000,新疆,西部,2013,2.687779,121.383148
242,650000,新疆,西部,2014,2.660935,126.11156
243,650000,新疆,西部,2015,2.787798,129.459902
244,650000,新疆,西部,2016,2.795149,133.471761
245,650000,新疆,西部,2017,2.786329,136.295054
246,650000,新疆,西部,2018,2.736033,141.673857
247,650000,新疆,西部,2019,2.64167,147.71529
248,650000,新疆,西部,2020,2.478515,161.190053
249,650000,新疆,西部,2021,2.416822,168.834688
250,650000,新疆,西部,2022,2.320846,174.747475
251,650000,新疆,西部,2023,2.260865,181.114259
252,650000,新疆,西部,2024,2.204149,
253,320000,江苏,东部,2007,2.450482,28.832319
254,320000,江苏,东部,2008,2.487708,30.78658
255,320000,江苏,东部,2009,2.511429,31.920415
256,320000,江苏,东部,2010,2.456491,37.201805
257,320000,江苏,东部,2011,2.379933,38.188976
258,320000,江苏,东部,2012,2.374351,38.981358
259,320000,江苏,东部,2013,2.335996,40.349674
260,320000,江苏,东部,2014,2.296163,41.619718
261,320000,江苏,东部,2015,2.286584,43.914169
262,320000,江苏,东部,2016,2.280586,44.738863
263,320000,江苏,东部,2017,2.27696,46.377389
264,320000,江苏,东部,2018,2.264332,47.472256
265,320000,江苏,东部,2019,2.251643,49.656947
266,320000,江苏,东部,2020,2.194479,50.244336
267,320000,江苏,东部,2021,2.155313,50.902527
268,320000,江苏,东部,2022,2.112547,51.790634
269,320000,江苏,东部,2023,2.073308,53.148496
270,320000,江苏,东部,2024,2.041494,
271,360000,江西,中部,2007,2.782033,44.980989
272,360000,江西,中部,2008,2.68666,47.170543
273,360000,江西,中部,2009,2.704849,49.285147
274,360000,江西,中部,2010,2.613253,50.801282
275,360000,江西,中部,2011,2.480303,54.429337
276,360000,江西,中部,2012,2.478712,57.519116
277,360000,江西,中部,2013,2.433711,59.798334
278,360000,江西,中部,2014,2.402787,62.844244
279,360000,江西,中部,2015,2.379029,65.17064
280,360000,江西,中部,2016,2.362251,69.01885
281,360000,江西,中部,2017,2.355989,71.421421
282,360000,江西,中部,2018,2.338797,73.662338
283,360000,江西,中部,2019,2.313624,101.893939
284,360000,江西,中部,2020,2.270538,105.704698
285,360000,江西,中部,2021,2.231,108.5583
286,360000,江西,中部,2022,2.191864,109.551543
287,360000,江西,中部,2023,2.132878,112.372372
