dataset_id,english_file,chinese_file,rows,columns,source_paths,first_year_detected,latest_year_detected,coverage_status,checked_at
2007-20024__Sheet17__5091a650,data_processed/english/2007-20024__Sheet17__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet17__5091a650_cn.csv,31,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
2007-20024__Sheet18__5091a650,data_processed/english/2007-20024__Sheet18__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet18__5091a650_cn.csv,31,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
2007-20024__Sheet1__5091a650,data_processed/english/2007-20024__Sheet1__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet1__5091a650_cn.csv,31,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
2007-20024__Sheet2__5091a650,data_processed/english/2007-20024__Sheet2__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet2__5091a650_cn.csv,31,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
2007-20024__Sheet3__5091a650,data_processed/english/2007-20024__Sheet3__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet3__5091a650_cn.csv,31,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
2007-20024__Sheet4__5091a650,data_processed/english/2007-20024__Sheet4__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet4__5091a650_cn.csv,31,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
2007-20024__Sheet5__5091a650,data_processed/english/2007-20024__Sheet5__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet5__5091a650_cn.csv,31,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
2007-20024__Sheet6__5091a650,data_processed/english/2007-20024__Sheet6__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet6__5091a650_cn.csv,31,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
2007-20024__Sheet7__5091a650,data_processed/english/2007-20024__Sheet7__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet7__5091a650_cn.csv,31,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
2007-20024__Sheet8__5091a650,data_processed/english/2007-20024__Sheet8__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet8__5091a650_cn.csv,31,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
